autor_id|autor_nombre|libro_titulo|anio_publicacion|sinopsis|UrlImagen
20|Oscar Wilde|El retrato de Dorian Gray|1890|"Dorian Gray desea mantenerse joven para siempre, y su retrato envejece en su lugar. Su búsqueda de placer lo lleva a la corrupción moral y a un trágico final."|https://www.edelvives.com/sites/default/files/styles/default/public/media-image/212330_Cub_DorianGray_Ct.jpg?itok=jz6aycid
21|H.G. Wells|La guerra de los mundos|1898|"La Tierra es invadida por marcianos con tecnología avanzada. Un narrador anónimo lucha por sobrevivir y reflexiona sobre la fragilidad de la civilización humana."|https://images.cdn2.buscalibre.com/fit-in/360x360/9f/9a/9f9a08922c49c945bec7e1d2cc8c6b59.jpg
21|H.G. Wells|La máquina del tiempo|1895|"Un científico viaja al futuro y encuentra una humanidad dividida en dos especies: los pacíficos Eloi y los subterráneos Morlocks, en una crítica al capitalismo y la evolución social."|https://images.cdn2.buscalibre.com/fit-in/360x360/53/12/531270d38f5eeddecec936406816c95a.jpg
22|Edgar Allan Poe|El cuervo|1845|"Un hombre atormentado por la pérdida de su amada Lenore recibe la visita de un cuervo parlante que solo repite “Nunca más”, simbolizando la desesperación y la locura."|https://images.cdn2.buscalibre.com/fit-in/360x360/31/78/317835028b8ffb763d9358bf4d766627.jpg
22|Edgar Allan Poe|Los crímenes de la calle Morgue|1841|"Considerado el primer relato de detectives, presenta a C. Auguste Dupin resolviendo un misterioso asesinato en París mediante el análisis lógico y la deducción."|https://assets1.bmstatic.com/assets/books-covers/00/d8/i4LdUa1e-ipad.jpg
23|Jules Verne|Viaje al centro de la Tierra|1864|"Un profesor y su sobrino descienden a las profundidades de la Tierra por un volcán, encontrando paisajes fantásticos y criaturas prehistóricas en una aventura científica sin igual."|https://images.cdn1.buscalibre.com/fit-in/360x360/8c/6e/8c6eba9898f6b855b5c0fd3e891d1374.jpg
23|Jules Verne|La vuelta al mundo en 80 días|1873|"Phileas Fogg apuesta que puede dar la vuelta al mundo en 80 días. Acompañado de su fiel criado Passepartout, enfrenta desafíos climáticos, culturales y legales en esta emocionante carrera contra el tiempo."|https://www.planetadelibros.com/usuaris/libros/fotos/374/original/portada_la-vuelta-al-mundo-en-80-dias-comic_jules-verne_202310231106.jpg
24|Louisa May Alcott|Mujercitas|1868|"Las hermanas March crecen durante la Guerra Civil en EE.UU., enfrentando retos económicos y emocionales mientras buscan el amor, la identidad y su lugar en el mundo como mujeres."|https://images.cdn3.buscalibre.com/fit-in/360x360/48/88/48881c5526d434b06ab40cd07c2d60fe.jpg
25|Emily Brontë|Cumbres Borrascosas|1847|"La oscura y apasionada historia de amor entre Heathcliff y Catherine se desarrolla entre los páramos ingleses, marcada por la venganza, el odio y el destino trágico de sus personajes."|https://granicaeditor.com/tapas/9788410206175.jpg
26|Charlotte Brontë|Jane Eyre|1847|"Jane, una joven huérfana, se convierte en institutriz y se enamora del misterioso Sr. Rochester, enfrentando secretos oscuros y buscando su independencia en una sociedad rígida."|https://blogs.upm.es/nosolotecnica/wp-content/uploads/sites/142/2012/03/Jane-Eyre-portada-libro.jpg
27|Herman Melville|Moby-Dick|1851|"El obsesivo capitán Ahab persigue a la legendaria ballena blanca Moby Dick, en una epopeya marina sobre la venganza, el destino y la lucha del hombre contra la naturaleza."|https://images.cdn1.buscalibre.com/fit-in/360x360/a9/7b/a97b015320007ee6359b0bbee088c0a2.jpg
28|Alexandre Dumas|Los tres mosqueteros|1844|"D’Artagnan se une a tres mosqueteros del rey en una historia de honor, amistad y aventuras que enfrenta a los héroes con intrigas políticas y enemigos mortales en la Francia del siglo XVII."|https://m.media-amazon.com/images/I/71T-tUJSKbL._AC_UF1000,1000_QL80_.jpg
28|Alexandre Dumas|El conde de Montecristo|1845|"Edmond Dantès es traicionado y encarcelado injustamente. Tras escapar y encontrar un tesoro, se convierte en el Conde de Montecristo y ejecuta una compleja venganza contra quienes lo arruinaron."|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbw18uFbcYzgkHAx8zYlWhHUXJncz_ficdvTj6WrckuIf7FNoJUznJcE8q778Gt2KtLbs&usqp=CAU
29|Jack London|Colmillo Blanco|1906|"Un lobo domesticado sobrevive en el duro norte canadiense, enfrentando crueldad y encontrando finalmente la bondad en los humanos, en una historia sobre la lucha por la supervivencia."|https://images.cdn1.buscalibre.com/fit-in/360x360/3f/f6/3ff66732d11233f8d049bb8ab1a95c7f.jpg
29|Jack London|La llamada de lo salvaje|1903|"Buck, un perro domesticado, es secuestrado y llevado al Yukón, donde aprende a sobrevivir en un entorno salvaje y despierta su instinto ancestral, volviéndose parte del mundo natural."|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTX21QtbDhrUq1Kix_MiaUU5cP1fvh5FCL12cU6e8bqww&s&ec=72940544
30|George R.R. Martin|Juego de tronos|1996|"En los Siete Reinos de Westeros, familias nobles luchan por el Trono de Hierro mientras antiguas amenazas resurgen en el norte. Intrigas, traiciones y batallas definen esta épica fantasía oscura."|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeAppX-JRV_llpSHm_CquHFvXB3fbzaFzwHoTwfCRvTg&s&ec=72940544
30|George R.R. Martin|Choque de reyes|1998|"Mientras varias casas nobles luchan por el control de los Siete Reinos tras la muerte del rey Robert, el caos se apodera del continente. Al norte, amenazas sobrenaturales resurgen más allá del Muro."|https://images.cdn1.buscalibre.com/fit-in/360x360/f3/83/f383638df3162d197de9b422eb2c5609.jpg
31|Dan Brown|El código Da Vinci|2003|"El profesor Robert Langdon se ve envuelto en una conspiración milenaria relacionada con el Santo Grial, símbolos ocultos y sociedades secretas, mientras corre contra el tiempo para resolver el misterio."|https://images.cdn1.buscalibre.com/fit-in/360x360/58/96/5896d9a6552f98faf035b09a84e09568.jpg
31|Dan Brown|Ángeles y demonios|2000|"Langdon es convocado por el Vaticano para detener un atentado. La clave está en una antigua sociedad secreta, los Illuminati, y en un recorrido vertiginoso por iglesias y símbolos de Roma."|https://www.planetadelibros.com.ar/usuaris/libros/fotos/138/m_libros/portada_angeles-y-demonios_dan-brown_201505260959.jpg
32|Kurt Vonnegut|Matadero cinco|1969|"Billy Pilgrim, un soldado estadounidense, sobrevive al bombardeo de Dresde y experimenta viajes temporales y secuestro alienígena. Una crítica irónica y amarga sobre la guerra y el tiempo."|https://bibliotecas.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/TeRecomendamos/TeBeO_en_la_biblioteca/ficheros/matadero_cinco_detalle_223x331.png
33|Harper Lee|Matar a un ruiseñor|1960|"Scout Finch narra su infancia en un pueblo del sur de EE.UU., donde su padre, Atticus, defiende a un hombre negro acusado injustamente. Una historia sobre el racismo, la inocencia y la justicia."|https://m.media-amazon.com/images/I/81+j6JIEweL._AC_UF894,1000_QL80_.jpg
34|Miguel de Cervantes|Don Quijote de la Mancha|1605|"Alonso Quijano enloquece por leer novelas de caballería y se convierte en Don Quijote, un hidalgo que lucha contra molinos de viento creyéndolos gigantes, en una sátira inmortal de la realidad y la ficción."|https://images.cdn2.buscalibre.com/fit-in/360x360/73/b6/73b6fd96c31d26e2b6a3531808c1188c.jpg
35|William Shakespeare|Macbeth|1606|"El noble escocés Macbeth, alentado por profecías y su ambiciosa esposa, asesina al rey para tomar el trono, pero la culpa y el destino lo llevan a la destrucción. Una tragedia sobre el poder y la ambición."|https://images.cdn2.buscalibre.com/fit-in/360x360/39/20/392092ea04b606fd2486ecae56fd8a88.jpg
35|William Shakespeare|Otelo|1603|"Otelo, general moro en Venecia, es víctima de los celos y la manipulación de Yago, quien lo lleva a desconfiar de su esposa Desdémona, desatando una tragedia marcada por la traición y el racismo."|https://images.cdn2.buscalibre.com/fit-in/360x360/55/48/5548076eeadc8e433f4dddc6e0e50b14.jpg
36|Dante Alighieri|La Divina Comedia|1320|"Dante viaja por el Infierno, el Purgatorio y el Paraíso guiado por Virgilio y Beatriz. Una obra alegórica sobre la redención del alma y la visión cristiana del más allá en la Edad Media."|https://images.cdn3.buscalibre.com/fit-in/360x360/0b/7a/0b7a0edcdb38d4fe128b379368d1abe4.jpg
37|Homero|La Ilíada|-750|"Durante la guerra de Troya, la ira de Aquiles tras la muerte de su amigo Patroclo desencadena eventos trágicos. Una epopeya que explora el honor, la guerra y la humanidad en la Grecia antigua."|https://images.cdn3.buscalibre.com/fit-in/360x360/c5/25/c525c992b7a5bb313f9e0b88a1f26426.jpg
37|Homero|La Odisea|-725|"Odiseo, rey de Ítaca, lucha por regresar a su hogar tras la guerra de Troya. Su largo viaje está lleno de aventuras, monstruos, dioses y pruebas, mientras su esposa Penélope espera fielmente su regreso."|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSc0yueZLBW_eRZ0QsXkP6tKNPQwzmFB9vUdVFDxOfdGw&s&ec=72940544
38|Gabriel García Márquez|Cien años de soledad|1967|"La familia Buendía en Macondo atraviesa generaciones marcadas por el amor, la muerte y lo sobrenatural. Una novela que fusiona el realismo mágico con la historia de Colombia."|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwc341myAZMHq8hqKdEtJRugmYkLSb44hQiixXj_n8UA&s&ec=72940544
38|Gabriel García Márquez|El amor en los tiempos del cólera|1985|"Florenzo Daza y Fermina Urbino se reencuentran después de décadas separados, reviviendo una historia de amor que comienza en su juventud y perdura en el tiempo, en una ciudad caribeña."|https://images.cdn1.buscalibre.com/fit-in/360x360/1d/db/1ddb176fdebda939be8351f6c7b177ba.jpg
39|Mario Vargas Llosa|La ciudad y los perros|1963|"Un grupo de jóvenes militares en una academia militar de Lima enfrenta la violencia, la corrupción y la brutalidad del sistema. Una crítica a la sociedad peruana de los años 50."|https://www.penguinlibros.com/ar/1586764/la-ciudad-y-los-perros-edicion-del-cincuentenario-edicion-conmemorativa-de-la-rae-y-la-asale.jpg
39|Mario Vargas Llosa|Conversación en La Catedral|1969|"Santiago, un periodista, se encuentra con Ambrosio, un hombre que conoció durante la dictadura de Manuel A. Odría. A través de sus conversaciones, se revela el destino de Perú en tiempos de represión."|https://images.cdn2.buscalibre.com/fit-in/360x360/67/69/676992d3525e2fb236fed46a00e8b1a0.jpg
40|Julio Cortázar|Rayuela|1963|"La novela sigue a Horacio Oliveira y su amada La Maga, explorando temas como la libertad, la desesperación y la búsqueda de sentido. El lector puede seguir varios caminos en la obra, jugando con su estructura."|https://resizer.glanacion.com/resizer/v2/la-tapa-original-de-LTKO74RIEBBJ3GFEJYWGAE6ICE.jpg?auth=3fade869166fb08b8e7b1cab8aa0cf2dfecb26a68843616051b4b6603f5985c0&width=420&height=630&quality=70&smart=true
41|Roberto Bolaño|2666|2004|"Cinco historias entrelazadas abarcan temas como la violencia, la literatura y la desaparición de mujeres en una ciudad mexicana. Una novela de gran magnitud sobre el misterio y el sufrimiento."|https://images.cdn3.buscalibre.com/fit-in/360x360/57/c9/57c933b372ebfd6b401b182271af9536.jpg
42|Isabel Allende|La casa de los espíritus|1982|"Clara, una mujer con habilidades psíquicas, narra la historia de su familia a lo largo de varias generaciones en Chile. La novela mezcla lo político, lo personal y lo sobrenatural."|https://i.pinimg.com/736x/39/3e/f0/393ef0539f70d5ab2dd1c7df17509fc4.jpg
43|Carlos Ruiz Zafón|La sombra del viento|2001|"Un joven llamado Daniel descubre un libro en un misterioso cementerio de libros olvidados. A medida que investiga sobre el autor, se enfrenta a secretos oscuros de la historia de Barcelona."|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgUTK-QDzzc5AePVNw7cfqLORLufBCsrDbabE7faTne5t-M8N7hqvTqGAXLmX0e44zOSQAYdvrix-SwT2xSh-RU6g7XGo-IE53ERvsfTQFBdNM26-_8YLWrzvaHCEsM5C3tmY7S0aRz8gsS/s1600/1414668835.jpg
44|Umberto Eco|El nombre de la rosa|1980|"Un monje franciscano, Guillermo de Baskerville, investiga una serie de asesinatos en una abadía medieval, desentrañando misterios de fe, filosofía y poder en una atmósfera medieval."|https://images.cdn3.buscalibre.com/fit-in/360x360/d1/bb/d1bbe767c7b446cce2321333a8abfd94.jpg
45|Albert Camus|El extranjero|1942|"Meursault, un hombre indiferente y desinteresado, se ve envuelto en un asesinato en Argelia. La obra examina la alienación y el absurdo de la vida, y cómo el protagonista se enfrenta a su propio destino."|https://media.sube.la/media/1946/products/1wN6ny2CMs.jpg
46|Franz Kafka|La metamorfosis|1915|"Gregor Samsa se despierta una mañana convertido en un insecto gigante. La novela explora el aislamiento, la angustia existencial y las relaciones familiares a través de la historia de su transformación."|https://www.alianzaeditorial.es/imagenes/libros/grande/9788420651361-la-metamorfosis.jpg
47|Marcel Proust|En busca del tiempo perdido|1913|"A través de la memoria, el narrador revisita su juventud y la vida en la sociedad francesa de finales del siglo XIX. La obra es un análisis detallado de la identidad, el amor y el paso del tiempo."|https://images.cdn3.buscalibre.com/fit-in/360x360/da/2e/da2ef30eaa323ac831fb9375112914a8.jpg
48|Virginia Woolf|La señora Dalloway|1925|"Clarissa Dalloway, mientras organiza una fiesta en Londres, reflexiona sobre su vida, las decisiones que ha tomado y sus relaciones pasadas. La novela examina la complejidad de la conciencia humana."|https://acdn-us.mitiendanube.com/stores/001/168/109/products/la-senora-dalloway-virginia-woolf1-6cdf3c75f281f1e3bd16119261114714-640-0.png
49|Joseph Conrad|El corazón de las tinieblas|1899|"Marlow narra su viaje al Congo en busca de Kurtz, un misterioso hombre que ha caído en la locura y el poder absoluto en su puesto como comerciante de marfil, explorando la oscuridad del colonialismo."|https://fce.com.ar/wp-content/uploads/2021/03/9786071678621.jpg
50|Antoine de Saint-Exupéry|El principito|1943|"Un piloto perdido en el desierto conoce a un niño que le cuenta sobre su viaje desde su planeta natal. A través de su historia, se abordan temas como la amistad, el amor y la pérdida con una mirada profunda hacia el mundo adulto."|https://i.pinimg.com/736x/44/49/fa/4449fa8105c957a2cea0f41fd3b60d5c.jpg

